,Model,Accuracy,Precision,Recall,F1-Score
1,LightGBM,0.9914415619149505,0.9914854645977426,0.9914415619149505,0.9914543390064037
2,XGBoost,0.990906659534635,0.990918470957319,0.990906659534635,0.990908942260645
3,Random Forest,0.9831505750200589,0.9831507020621044,0.9831505750200589,0.9831451483655866
4,Decision Tree,0.9069269858250869,0.9066301833366822,0.9069269858250869,0.9065508019354415
5,KNN,0.8678791120620487,0.868421236014705,0.8678791120620487,0.8675223409888898
6,Logistic Regression (Softmax),0.7108852634394223,0.7093953236296755,0.7108852634394223,0.7095194980916
7,AdaBoost,0.6234287242578229,0.6707484694051727,0.6234287242578229,0.6239689386333183
8,SVM (Poly),0.6175447980743515,0.6128408173489069,0.6175447980743515,0.6060361074395844
9,SVM (RBF),0.5988232147633057,0.6002084033420025,0.5988232147633057,0.5884187374536656
